Title,Location,Price,Area
                        Apartment Sprinklerstraat                            ,            1019 VR Amsterdam (Indische Buurt Oost)        ,"                €2,500 per month            ",94 m²3 roomsFurnished
                        Apartment Veldhuizenstraat                            ,            1106 DH Amsterdam (Gein)        ,"                €1,500 per month            ",82 m²4 roomsFurnished
                        Apartment Pieter Calandlaan                            ,            1069 SC Amsterdam (Osdorp-Midden)        ,"                €1,750 per month            ",90 m²3 roomsFurnished
                        Apartment Rustenburgerstraat 146 A22                            ,            1073 GJ Amsterdam (Nieuwe Pijp)        ,"                €2,150 per month            ",55 m²3 roomsFurnished
                        Apartment Groen van Prinstererstraat                            ,            1051 EH Amsterdam (Staatsliedenbuurt)        ,"                €2,400 per month            ",73 m²3 roomsFurnished
                        Apartment Korte Ouderkerkerdijk 1 W2                            ,            1096 AC Amsterdam (Omval/Overamstel)        ,"                €10,500 per month            ",196 m²4 roomsUpholstered
                        Apartment Dusartstraat                            ,            1072 HV Amsterdam (Nieuwe Pijp)        ,"                €2,500 per month            ",75 m²3 roomsUpholstered
                        Apartment Rheastraat 24                            ,            1076 DS Amsterdam (Stadionbuurt)        ,"                €2,750 per month            ",125 m²3 roomsFurnished
                        Apartment Tolstraat 42 1                            ,            1073 SC Amsterdam (Zuid Pijp)        ,"                €1,850 per month            ",45 m²2 roomsFurnished
                        Apartment Gillis van Ledenberchstraat                            ,            1052 VG Amsterdam (Frederik Hendrikbuurt)        ,"                €1,850 per month            ",76 m²3 roomsFurnished
                        Apartment Willem Nakkenstraat                            ,            1061 SZ Amsterdam (Overtoomse Veld)        ,"                €2,150 per month            ",90 m²5 roomsUpholstered
                        Apartment Banstraat 55 II                            ,            1071 JX Amsterdam (Museumkwartier)        ,"                €2,100 per month            ",75 m²2 roomsUpholstered or furnished
                        Apartment Prinsengracht 533 II                            ,            1016 HS Amsterdam (Grachtengordel-West)        ,"                €2,150 per month            ",51 m²3 roomsUpholstered or furnished
                        Apartment Oudezijds Achterburgwal 145 I                            ,            1012 DG Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,975 per month            ",50 m²2 roomsUpholstered or furnished
                        Studio Sarphatistraat                            ,            1018 AV Amsterdam (Weesperbuurt/Plantage)        ,"                €1,250 per month            ",25 m²1 roomFurnished
                        Apartment NDSM-pier                            ,            1033 RE Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,740 per month            ",65 m²4 roomsUpholstered
                        Apartment NDSM-pier                            ,            1033 RE Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,450 per month            ",110 m²4 roomsUpholstered
                        Apartment NDSM-pier                            ,            1033 RE Amsterdam (Noordelijke IJ-oevers West)        ,"                €3,400 per month            ",129 m²4 roomsUpholstered
                        House H. Stolleplantsoen                            ,            1022 KK Amsterdam (Elzenhagen)        ,"                €2,650 per month            ",185 m²7 roomsUpholstered
                        Apartment Nieuwe Herengracht                            ,            1011 RP Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,600 per month            ",47 m²3 roomsFurnished
                        Apartment Keizersgracht 633 A                            ,            1017 DS Amsterdam (Grachtengordel-Zuid)        ,"                €3,400 per month            ",54 m²2 roomsUpholstered
                        Apartment Herenstraat 4 D                            ,            1015 CA Amsterdam (Grachtengordel-West)        ,"                €1,995 per month            ",55 m²2 roomsFurnished
                        Apartment Herengracht 449 B                            ,            1017 BR Amsterdam (Grachtengordel-Zuid)        ,"                €3,850 per month            ",200 m²5 roomsUpholstered
                        Apartment Alexanderkade                            ,            1018 ZC Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,500 per month            ",102 m²5 roomsFurnished
                        Apartment Johannes Verhulststraat 157 3                            ,            1075 GW Amsterdam (Willemspark)        ,"                €5,500 per month            ",168 m²4 roomsFurnished
                        Apartment Blasiusstraat                            ,            1091 CR Amsterdam (Weesperzijde)        ,"                €2,400 per month            ",66 m²3 roomsFurnished
                        Apartment Nova Zemblastraat                            ,            1013 RJ Amsterdam (Spaarndammer- en Zeeheldenbuurt)        ,"                €1,950 per month            ",60 m²2 roomsFurnished
                        Apartment Jennerstraat                            ,            1097 GB Amsterdam (Frankendael)        ,"                €2,300 per month            ",108 m²6 rooms1960-1970
                        Apartment Jacob van Lennepkade                            ,            1054 ZT Amsterdam (Overtoomse Sluis)        ,"                €2,075 per month            ",65 m²2 roomsFurnished
                        Apartment Lauriergracht 142 A                            ,            1016 RT Amsterdam (Jordaan)        ,"                €2,450 per month            ",53 m²2 roomsFurnished
